Modèle,mAP50,mAP50-95,Precision,Recall,Vitesse (ms),Paramètres,Taille Modèle,Complexité,Robustesse,Temps Entraînement
YOLOv11n,0.85,0.555,0.86,0.79,15,2.58M,~5.5 MB,Faible,Excellente,~15-20 min
RF-DETR Base,0.46,0.42,0.5,0.78,45,31.9M,~120 MB,Élevée,Bonne,~10-15 min
